Type                        Module                      Label      Process   
-----------------------------------------------------------------------------
edm::TriggerResults         "TriggerResults"            ""         "SIM"     
BXVector<GlobalAlgBlk>      "hltGtStage2Digis"          ""         "HLT"     
BXVector<GlobalAlgBlk>      "simGtStage2Digis"          ""         "HLT"     
BXVector<GlobalExtBlk>      "hltGtStage2Digis"          ""         "HLT"     
BXVector<l1t::EGamma>       "hltGtStage2Digis"          "EGamma"   "HLT"     
BXVector<l1t::EtSum>        "hltGtStage2Digis"          "EtSum"    "HLT"     
BXVector<l1t::Jet>          "hltGtStage2Digis"          "Jet"      "HLT"     
BXVector<l1t::Muon>         "hltGtStage2Digis"          "Muon"     "HLT"     
BXVector<l1t::Tau>          "hltGtStage2Digis"          "Tau"      "HLT"     
edm::TriggerResults         "TriggerResults"            ""         "HLT"     
trigger::TriggerEvent       "hltTriggerSummaryAOD"      ""         "HLT"     
BXVector<GlobalAlgBlk>      "hltGtStage2Digis"          ""         "HLTX"    
BXVector<GlobalAlgBlk>      "hltGtStage2ObjectMap"      ""         "HLTX"    
BXVector<GlobalExtBlk>      "hltGtStage2Digis"          ""         "HLTX"    
BXVector<l1t::EGamma>       "hltGtStage2Digis"          "EGamma"   "HLTX"    
BXVector<l1t::EtSum>        "hltGtStage2Digis"          "EtSum"    "HLTX"    
BXVector<l1t::Jet>          "hltGtStage2Digis"          "Jet"      "HLTX"    
BXVector<l1t::Muon>         "hltGtStage2Digis"          "Muon"     "HLTX"    
BXVector<l1t::Tau>          "hltGtStage2Digis"          "Tau"      "HLTX"    
double                      "hltAK8CaloJets"            "rho"      "HLTX"    
double                      "hltAK8CaloJetsPF"          "rho"      "HLTX"    
double                      "hltAK8PFJets"              "rho"      "HLTX"    
double                      "hltAK8SoftDropModJets"     "rho"      "HLTX"    
double                      "hltAK8TrimModJets"         "rho"      "HLTX"    
double                      "hltAK8CaloJets"            "sigma"    "HLTX"    
double                      "hltAK8CaloJetsPF"          "sigma"    "HLTX"    
double                      "hltAK8PFJets"              "sigma"    "HLTX"    
double                      "hltAK8SoftDropModJets"     "sigma"    "HLTX"    
double                      "hltAK8TrimModJets"         "sigma"    "HLTX"    
edm::TriggerResults         "TriggerResults"            ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJets"              ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsCorrected"     ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsCorrectedMatchedToCaloJets260"   ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsCorrectedMatchedToCaloJets280"   ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsCorrectedMatchedToCaloJets300"   ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsCorrectedMatchedToCaloJets320"   ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsLooseID"       ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsLooseIDCorrected"   ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsTightID"       ""         "HLTX"    
vector<reco::PFJet>         "hltAK8PFJetsTightIDCorrected"   ""         "HLTX"    
vector<reco::PFJet>         "hltAK8SoftDropModJets"     ""         "HLTX"    
vector<reco::PFJet>         "hltAK8TrimModJets"         ""         "HLTX"    
vector<reco::PFJet>         "hltAK8TrimModJetsCorrectedMatchedToCaloJets300ForDB"   ""         "HLTX"    
trigger::TriggerEvent       "hltTriggerSummaryAOD"      ""         "HLTX"    
